age,balance,Cluster,Recommendation
44,4580,2,Investasi Reksa Dana
60,313,0,Tabungan Jangka Panjang
29,10576,2,Investasi Reksa Dana
41,-233,0,Tabungan Jangka Panjang
41,2453,0,Tabungan Jangka Panjang
42,1364,0,Tabungan Jangka Panjang
36,281,0,Tabungan Jangka Panjang
39,94,0,Tabungan Jangka Panjang
31,144,0,Tabungan Jangka Panjang
26,246,0,Tabungan Jangka Panjang
31,92,0,Tabungan Jangka Panjang
29,163,0,Tabungan Jangka Panjang
37,49,0,Tabungan Jangka Panjang
33,-416,0,Tabungan Jangka Panjang
24,409,0,Tabungan Jangka Panjang
50,363,0,Tabungan Jangka Panjang
27,3706,2,Investasi Reksa Dana
54,4393,2,Investasi Reksa Dana
30,863,0,Tabungan Jangka Panjang
34,695,0,Tabungan Jangka Panjang
37,792,0,Tabungan Jangka Panjang
41,1020,0,Tabungan Jangka Panjang
47,863,0,Tabungan Jangka Panjang
31,97,0,Tabungan Jangka Panjang
31,754,0,Tabungan Jangka Panjang
43,1040,0,Tabungan Jangka Panjang
37,122,0,Tabungan Jangka Panjang
30,880,0,Tabungan Jangka Panjang
41,501,0,Tabungan Jangka Panjang
36,4438,2,Investasi Reksa Dana
35,0,0,Tabungan Jangka Panjang
29,271,0,Tabungan Jangka Panjang
35,102,0,Tabungan Jangka Panjang
31,2,0,Tabungan Jangka Panjang
35,4170,2,Investasi Reksa Dana
34,85,0,Tabungan Jangka Panjang
31,431,0,Tabungan Jangka Panjang
44,982,0,Tabungan Jangka Panjang
36,408,0,Tabungan Jangka Panjang
35,4822,2,Investasi Reksa Dana
41,1250,0,Tabungan Jangka Panjang
31,216,0,Tabungan Jangka Panjang
34,1207,0,Tabungan Jangka Panjang
32,791,0,Tabungan Jangka Panjang
36,849,0,Tabungan Jangka Panjang
30,239,0,Tabungan Jangka Panjang
37,1211,0,Tabungan Jangka Panjang
36,599,0,Tabungan Jangka Panjang
31,825,0,Tabungan Jangka Panjang
27,2183,0,Tabungan Jangka Panjang
34,4499,2,Investasi Reksa Dana
30,1289,0,Tabungan Jangka Panjang
32,4665,2,Investasi Reksa Dana
37,3326,0,Tabungan Jangka Panjang
32,783,0,Tabungan Jangka Panjang
33,0,0,Tabungan Jangka Panjang
35,994,0,Tabungan Jangka Panjang
35,1354,0,Tabungan Jangka Panjang
30,239,0,Tabungan Jangka Panjang
45,-311,0,Tabungan Jangka Panjang
45,149,0,Tabungan Jangka Panjang
33,1464,0,Tabungan Jangka Panjang
44,5773,2,Investasi Reksa Dana
40,278,0,Tabungan Jangka Panjang
31,2910,0,Tabungan Jangka Panjang
30,541,0,Tabungan Jangka Panjang
44,1262,0,Tabungan Jangka Panjang
34,-538,0,Tabungan Jangka Panjang
37,125,0,Tabungan Jangka Panjang
28,0,0,Tabungan Jangka Panjang
32,620,0,Tabungan Jangka Panjang
37,316,0,Tabungan Jangka Panjang
34,2287,0,Tabungan Jangka Panjang
38,198,0,Tabungan Jangka Panjang
28,460,0,Tabungan Jangka Panjang
31,1145,0,Tabungan Jangka Panjang
59,-22,0,Tabungan Jangka Panjang
24,685,0,Tabungan Jangka Panjang
26,901,0,Tabungan Jangka Panjang
59,351,0,Tabungan Jangka Panjang
30,0,0,Tabungan Jangka Panjang
37,274,0,Tabungan Jangka Panjang
30,-213,0,Tabungan Jangka Panjang
25,97,0,Tabungan Jangka Panjang
44,51,0,Tabungan Jangka Panjang
29,314,0,Tabungan Jangka Panjang
26,6840,2,Investasi Reksa Dana
26,668,0,Tabungan Jangka Panjang
27,54,0,Tabungan Jangka Panjang
25,1242,0,Tabungan Jangka Panjang
28,292,0,Tabungan Jangka Panjang
23,665,0,Tabungan Jangka Panjang
34,1058,0,Tabungan Jangka Panjang
28,949,0,Tabungan Jangka Panjang
51,606,0,Tabungan Jangka Panjang
35,0,0,Tabungan Jangka Panjang
35,404,0,Tabungan Jangka Panjang
56,249,0,Tabungan Jangka Panjang
45,3354,0,Tabungan Jangka Panjang
60,0,0,Tabungan Jangka Panjang
56,589,0,Tabungan Jangka Panjang
27,12956,2,Investasi Reksa Dana
30,873,0,Tabungan Jangka Panjang
45,594,0,Tabungan Jangka Panjang
29,-20,0,Tabungan Jangka Panjang
38,4692,2,Investasi Reksa Dana
30,486,0,Tabungan Jangka Panjang
44,1593,0,Tabungan Jangka Panjang
36,7606,2,Investasi Reksa Dana
38,226,0,Tabungan Jangka Panjang
36,366,0,Tabungan Jangka Panjang
37,16,0,Tabungan Jangka Panjang
35,565,0,Tabungan Jangka Panjang
38,19,0,Tabungan Jangka Panjang
40,1082,0,Tabungan Jangka Panjang
42,1713,0,Tabungan Jangka Panjang
46,14481,2,Investasi Reksa Dana
35,5724,2,Investasi Reksa Dana
34,1451,0,Tabungan Jangka Panjang
32,-34,0,Tabungan Jangka Panjang
50,3674,2,Investasi Reksa Dana
35,698,0,Tabungan Jangka Panjang
36,4136,2,Investasi Reksa Dana
53,2656,0,Tabungan Jangka Panjang
46,2904,0,Tabungan Jangka Panjang
26,1004,0,Tabungan Jangka Panjang
45,410,0,Tabungan Jangka Panjang
31,0,0,Tabungan Jangka Panjang
29,0,0,Tabungan Jangka Panjang
53,62,0,Tabungan Jangka Panjang
27,416,0,Tabungan Jangka Panjang
39,2763,0,Tabungan Jangka Panjang
36,2984,0,Tabungan Jangka Panjang
41,143,0,Tabungan Jangka Panjang
36,0,0,Tabungan Jangka Panjang
32,696,0,Tabungan Jangka Panjang
35,152,0,Tabungan Jangka Panjang
36,-78,0,Tabungan Jangka Panjang
35,867,0,Tabungan Jangka Panjang
30,953,0,Tabungan Jangka Panjang
42,443,0,Tabungan Jangka Panjang
42,-1129,0,Tabungan Jangka Panjang
32,415,0,Tabungan Jangka Panjang
29,260,0,Tabungan Jangka Panjang
44,-411,0,Tabungan Jangka Panjang
32,1279,0,Tabungan Jangka Panjang
31,86,0,Tabungan Jangka Panjang
40,-754,0,Tabungan Jangka Panjang
43,0,0,Tabungan Jangka Panjang
27,178,0,Tabungan Jangka Panjang
37,278,0,Tabungan Jangka Panjang
23,425,0,Tabungan Jangka Panjang
25,168,0,Tabungan Jangka Panjang
26,-36,0,Tabungan Jangka Panjang
47,126,0,Tabungan Jangka Panjang
35,-87,0,Tabungan Jangka Panjang
32,6281,2,Investasi Reksa Dana
45,644,0,Tabungan Jangka Panjang
30,377,0,Tabungan Jangka Panjang
29,-271,0,Tabungan Jangka Panjang
38,5839,2,Investasi Reksa Dana
23,492,0,Tabungan Jangka Panjang
27,99,0,Tabungan Jangka Panjang
27,-713,0,Tabungan Jangka Panjang
29,32,0,Tabungan Jangka Panjang
30,543,0,Tabungan Jangka Panjang
36,403,0,Tabungan Jangka Panjang
35,437,0,Tabungan Jangka Panjang
36,1772,0,Tabungan Jangka Panjang
59,-88,0,Tabungan Jangka Panjang
47,0,0,Tabungan Jangka Panjang
58,853,0,Tabungan Jangka Panjang
37,240,0,Tabungan Jangka Panjang
46,849,0,Tabungan Jangka Panjang
43,318,0,Tabungan Jangka Panjang
27,703,0,Tabungan Jangka Panjang
38,61,0,Tabungan Jangka Panjang
53,104,0,Tabungan Jangka Panjang
47,1996,0,Tabungan Jangka Panjang
56,1238,0,Tabungan Jangka Panjang
41,879,0,Tabungan Jangka Panjang
29,425,0,Tabungan Jangka Panjang
50,416,0,Tabungan Jangka Panjang
45,844,0,Tabungan Jangka Panjang
35,860,0,Tabungan Jangka Panjang
26,639,0,Tabungan Jangka Panjang
26,710,0,Tabungan Jangka Panjang
37,1508,0,Tabungan Jangka Panjang
30,223,0,Tabungan Jangka Panjang
38,619,0,Tabungan Jangka Panjang
37,319,0,Tabungan Jangka Panjang
53,480,0,Tabungan Jangka Panjang
29,213,0,Tabungan Jangka Panjang
35,68,0,Tabungan Jangka Panjang
28,2788,0,Tabungan Jangka Panjang
55,7561,2,Investasi Reksa Dana
49,-46,0,Tabungan Jangka Panjang
50,1595,0,Tabungan Jangka Panjang
43,1046,0,Tabungan Jangka Panjang
58,1382,0,Tabungan Jangka Panjang
38,217,0,Tabungan Jangka Panjang
48,183,0,Tabungan Jangka Panjang
59,1321,0,Tabungan Jangka Panjang
58,25,0,Tabungan Jangka Panjang
36,4844,2,Investasi Reksa Dana
42,5345,2,Investasi Reksa Dana
41,812,0,Tabungan Jangka Panjang
42,105,0,Tabungan Jangka Panjang
39,-190,0,Tabungan Jangka Panjang
57,625,0,Tabungan Jangka Panjang
52,293,0,Tabungan Jangka Panjang
59,1033,0,Tabungan Jangka Panjang
56,1210,0,Tabungan Jangka Panjang
49,64,0,Tabungan Jangka Panjang
35,164,0,Tabungan Jangka Panjang
36,1766,0,Tabungan Jangka Panjang
40,1248,0,Tabungan Jangka Panjang
55,0,0,Tabungan Jangka Panjang
58,826,0,Tabungan Jangka Panjang
39,2630,0,Tabungan Jangka Panjang
47,3727,2,Investasi Reksa Dana
40,406,0,Tabungan Jangka Panjang
35,2999,0,Tabungan Jangka Panjang
48,1000,0,Tabungan Jangka Panjang
48,503,0,Tabungan Jangka Panjang
24,-203,0,Tabungan Jangka Panjang
49,361,0,Tabungan Jangka Panjang
36,274,0,Tabungan Jangka Panjang
52,3687,2,Investasi Reksa Dana
42,323,0,Tabungan Jangka Panjang
36,981,0,Tabungan Jangka Panjang
36,638,0,Tabungan Jangka Panjang
48,3229,0,Tabungan Jangka Panjang
51,1610,0,Tabungan Jangka Panjang
51,33,0,Tabungan Jangka Panjang
46,536,0,Tabungan Jangka Panjang
37,0,0,Tabungan Jangka Panjang
36,3057,0,Tabungan Jangka Panjang
47,2892,0,Tabungan Jangka Panjang
40,0,0,Tabungan Jangka Panjang
38,3316,0,Tabungan Jangka Panjang
40,106,0,Tabungan Jangka Panjang
39,2303,0,Tabungan Jangka Panjang
60,3301,0,Tabungan Jangka Panjang
39,426,0,Tabungan Jangka Panjang
51,9,0,Tabungan Jangka Panjang
27,-97,0,Tabungan Jangka Panjang
41,11008,2,Investasi Reksa Dana
42,4930,2,Investasi Reksa Dana
41,707,0,Tabungan Jangka Panjang
33,4,0,Tabungan Jangka Panjang
46,126,0,Tabungan Jangka Panjang
31,671,0,Tabungan Jangka Panjang
41,219,0,Tabungan Jangka Panjang
41,3622,2,Investasi Reksa Dana
55,1580,0,Tabungan Jangka Panjang
53,1319,0,Tabungan Jangka Panjang
55,2152,0,Tabungan Jangka Panjang
39,2843,0,Tabungan Jangka Panjang
40,0,0,Tabungan Jangka Panjang
59,1115,0,Tabungan Jangka Panjang
42,625,0,Tabungan Jangka Panjang
41,246,0,Tabungan Jangka Panjang
27,61,0,Tabungan Jangka Panjang
25,-191,0,Tabungan Jangka Panjang
43,519,0,Tabungan Jangka Panjang
44,522,0,Tabungan Jangka Panjang
26,-46,0,Tabungan Jangka Panjang
52,2269,0,Tabungan Jangka Panjang
54,386,0,Tabungan Jangka Panjang
56,0,0,Tabungan Jangka Panjang
57,9103,2,Investasi Reksa Dana
29,908,0,Tabungan Jangka Panjang
47,1694,0,Tabungan Jangka Panjang
57,-92,0,Tabungan Jangka Panjang
40,188,0,Tabungan Jangka Panjang
46,0,0,Tabungan Jangka Panjang
43,740,0,Tabungan Jangka Panjang
45,655,0,Tabungan Jangka Panjang
24,867,0,Tabungan Jangka Panjang
40,1009,0,Tabungan Jangka Panjang
38,6360,2,Investasi Reksa Dana
36,4145,2,Investasi Reksa Dana
27,-27,0,Tabungan Jangka Panjang
26,-122,0,Tabungan Jangka Panjang
43,149,0,Tabungan Jangka Panjang
25,52,0,Tabungan Jangka Panjang
27,335,0,Tabungan Jangka Panjang
30,526,0,Tabungan Jangka Panjang
28,-7,0,Tabungan Jangka Panjang
27,-413,0,Tabungan Jangka Panjang
32,-241,0,Tabungan Jangka Panjang
41,75,0,Tabungan Jangka Panjang
37,0,0,Tabungan Jangka Panjang
27,158,0,Tabungan Jangka Panjang
29,84,0,Tabungan Jangka Panjang
33,114,0,Tabungan Jangka Panjang
36,0,0,Tabungan Jangka Panjang
28,-127,0,Tabungan Jangka Panjang
55,49,0,Tabungan Jangka Panjang
51,216,0,Tabungan Jangka Panjang
39,506,0,Tabungan Jangka Panjang
42,213,0,Tabungan Jangka Panjang
33,170,0,Tabungan Jangka Panjang
36,776,0,Tabungan Jangka Panjang
45,879,0,Tabungan Jangka Panjang
37,1633,0,Tabungan Jangka Panjang
46,926,0,Tabungan Jangka Panjang
32,2559,0,Tabungan Jangka Panjang
28,909,0,Tabungan Jangka Panjang
45,-176,0,Tabungan Jangka Panjang
41,1085,0,Tabungan Jangka Panjang
59,1265,0,Tabungan Jangka Panjang
47,-239,0,Tabungan Jangka Panjang
31,726,0,Tabungan Jangka Panjang
31,296,0,Tabungan Jangka Panjang
33,-627,0,Tabungan Jangka Panjang
52,-468,0,Tabungan Jangka Panjang
26,551,0,Tabungan Jangka Panjang
25,0,0,Tabungan Jangka Panjang
25,101,0,Tabungan Jangka Panjang
28,517,0,Tabungan Jangka Panjang
33,37,0,Tabungan Jangka Panjang
45,854,0,Tabungan Jangka Panjang
36,30,0,Tabungan Jangka Panjang
26,81,0,Tabungan Jangka Panjang
38,0,0,Tabungan Jangka Panjang
56,663,0,Tabungan Jangka Panjang
26,102,0,Tabungan Jangka Panjang
26,370,0,Tabungan Jangka Panjang
25,189,0,Tabungan Jangka Panjang
26,111,0,Tabungan Jangka Panjang
40,665,0,Tabungan Jangka Panjang
37,214,0,Tabungan Jangka Panjang
43,0,0,Tabungan Jangka Panjang
41,1583,0,Tabungan Jangka Panjang
49,0,0,Tabungan Jangka Panjang
29,0,0,Tabungan Jangka Panjang
39,687,0,Tabungan Jangka Panjang
38,327,0,Tabungan Jangka Panjang
26,-119,0,Tabungan Jangka Panjang
32,794,0,Tabungan Jangka Panjang
33,-191,0,Tabungan Jangka Panjang
31,409,0,Tabungan Jangka Panjang
49,3,0,Tabungan Jangka Panjang
27,9,0,Tabungan Jangka Panjang
30,155,0,Tabungan Jangka Panjang
35,1330,0,Tabungan Jangka Panjang
26,-29,0,Tabungan Jangka Panjang
45,3133,0,Tabungan Jangka Panjang
34,-33,0,Tabungan Jangka Panjang
28,-170,0,Tabungan Jangka Panjang
25,1243,0,Tabungan Jangka Panjang
30,1598,0,Tabungan Jangka Panjang
30,5,0,Tabungan Jangka Panjang
47,367,0,Tabungan Jangka Panjang
57,658,0,Tabungan Jangka Panjang
38,1722,0,Tabungan Jangka Panjang
54,-315,0,Tabungan Jangka Panjang
25,2483,0,Tabungan Jangka Panjang
30,0,0,Tabungan Jangka Panjang
26,45,0,Tabungan Jangka Panjang
31,46,0,Tabungan Jangka Panjang
29,482,0,Tabungan Jangka Panjang
49,3728,2,Investasi Reksa Dana
60,1099,0,Tabungan Jangka Panjang
60,2222,0,Tabungan Jangka Panjang
29,983,0,Tabungan Jangka Panjang
55,204,0,Tabungan Jangka Panjang
44,1074,0,Tabungan Jangka Panjang
47,3466,0,Tabungan Jangka Panjang
35,-203,0,Tabungan Jangka Panjang
35,2436,0,Tabungan Jangka Panjang
38,976,0,Tabungan Jangka Panjang
34,146,0,Tabungan Jangka Panjang
50,156,0,Tabungan Jangka Panjang
43,189,0,Tabungan Jangka Panjang
44,163,0,Tabungan Jangka Panjang
51,242,0,Tabungan Jangka Panjang
31,1173,0,Tabungan Jangka Panjang
39,0,0,Tabungan Jangka Panjang
59,296,0,Tabungan Jangka Panjang
25,333,0,Tabungan Jangka Panjang
58,3864,2,Investasi Reksa Dana
30,2686,0,Tabungan Jangka Panjang
34,-109,0,Tabungan Jangka Panjang
51,65,0,Tabungan Jangka Panjang
60,597,0,Tabungan Jangka Panjang
51,-799,0,Tabungan Jangka Panjang
37,1775,0,Tabungan Jangka Panjang
30,0,0,Tabungan Jangka Panjang
46,-563,0,Tabungan Jangka Panjang
29,5,0,Tabungan Jangka Panjang
27,139,0,Tabungan Jangka Panjang
28,0,0,Tabungan Jangka Panjang
34,855,0,Tabungan Jangka Panjang
29,694,0,Tabungan Jangka Panjang
27,151,0,Tabungan Jangka Panjang
26,354,0,Tabungan Jangka Panjang
36,673,0,Tabungan Jangka Panjang
44,1265,0,Tabungan Jangka Panjang
39,597,0,Tabungan Jangka Panjang
30,-393,0,Tabungan Jangka Panjang
31,256,0,Tabungan Jangka Panjang
56,0,0,Tabungan Jangka Panjang
29,2870,0,Tabungan Jangka Panjang
43,184,0,Tabungan Jangka Panjang
32,1905,0,Tabungan Jangka Panjang
30,-36,0,Tabungan Jangka Panjang
40,-839,0,Tabungan Jangka Panjang
42,3465,0,Tabungan Jangka Panjang
27,119,0,Tabungan Jangka Panjang
35,36,0,Tabungan Jangka Panjang
35,113,0,Tabungan Jangka Panjang
32,118,0,Tabungan Jangka Panjang
39,251,0,Tabungan Jangka Panjang
31,-277,0,Tabungan Jangka Panjang
26,-189,0,Tabungan Jangka Panjang
42,4,0,Tabungan Jangka Panjang
27,1820,0,Tabungan Jangka Panjang
33,1904,0,Tabungan Jangka Panjang
51,201,0,Tabungan Jangka Panjang
33,0,0,Tabungan Jangka Panjang
30,178,0,Tabungan Jangka Panjang
52,3798,2,Investasi Reksa Dana
42,301,0,Tabungan Jangka Panjang
31,294,0,Tabungan Jangka Panjang
27,0,0,Tabungan Jangka Panjang
44,292,0,Tabungan Jangka Panjang
40,2998,0,Tabungan Jangka Panjang
46,2084,0,Tabungan Jangka Panjang
32,454,0,Tabungan Jangka Panjang
56,179,0,Tabungan Jangka Panjang
33,661,0,Tabungan Jangka Panjang
33,89,0,Tabungan Jangka Panjang
32,102,0,Tabungan Jangka Panjang
41,138,0,Tabungan Jangka Panjang
31,622,0,Tabungan Jangka Panjang
30,10,0,Tabungan Jangka Panjang
34,-251,0,Tabungan Jangka Panjang
43,104,0,Tabungan Jangka Panjang
28,173,0,Tabungan Jangka Panjang
32,-46,0,Tabungan Jangka Panjang
31,0,0,Tabungan Jangka Panjang
35,145,0,Tabungan Jangka Panjang
31,325,0,Tabungan Jangka Panjang
25,2311,0,Tabungan Jangka Panjang
56,158,0,Tabungan Jangka Panjang
47,1981,0,Tabungan Jangka Panjang
39,1423,0,Tabungan Jangka Panjang
51,2455,0,Tabungan Jangka Panjang
54,859,0,Tabungan Jangka Panjang
58,9004,2,Investasi Reksa Dana
42,970,0,Tabungan Jangka Panjang
56,486,0,Tabungan Jangka Panjang
55,127,0,Tabungan Jangka Panjang
26,409,0,Tabungan Jangka Panjang
40,664,0,Tabungan Jangka Panjang
26,223,0,Tabungan Jangka Panjang
35,-324,0,Tabungan Jangka Panjang
34,-30,0,Tabungan Jangka Panjang
41,1253,0,Tabungan Jangka Panjang
44,4758,2,Investasi Reksa Dana
33,30,0,Tabungan Jangka Panjang
36,81,0,Tabungan Jangka Panjang
38,0,0,Tabungan Jangka Panjang
35,328,0,Tabungan Jangka Panjang
41,145,0,Tabungan Jangka Panjang
41,465,0,Tabungan Jangka Panjang
28,751,0,Tabungan Jangka Panjang
26,-379,0,Tabungan Jangka Panjang
39,0,0,Tabungan Jangka Panjang
25,349,0,Tabungan Jangka Panjang
37,1110,0,Tabungan Jangka Panjang
25,2228,0,Tabungan Jangka Panjang
46,2166,0,Tabungan Jangka Panjang
25,-247,0,Tabungan Jangka Panjang
28,-123,0,Tabungan Jangka Panjang
33,44,0,Tabungan Jangka Panjang
32,131,0,Tabungan Jangka Panjang
32,476,0,Tabungan Jangka Panjang
47,1101,0,Tabungan Jangka Panjang
50,-168,0,Tabungan Jangka Panjang
27,-392,0,Tabungan Jangka Panjang
45,524,0,Tabungan Jangka Panjang
51,895,0,Tabungan Jangka Panjang
36,212,0,Tabungan Jangka Panjang
51,95,0,Tabungan Jangka Panjang
33,395,0,Tabungan Jangka Panjang
59,135,0,Tabungan Jangka Panjang
38,0,0,Tabungan Jangka Panjang
40,471,0,Tabungan Jangka Panjang
51,603,0,Tabungan Jangka Panjang
41,663,0,Tabungan Jangka Panjang
38,593,0,Tabungan Jangka Panjang
31,1224,0,Tabungan Jangka Panjang
28,2,0,Tabungan Jangka Panjang
41,720,0,Tabungan Jangka Panjang
33,990,0,Tabungan Jangka Panjang
25,1747,0,Tabungan Jangka Panjang
45,59,0,Tabungan Jangka Panjang
31,33,0,Tabungan Jangka Panjang
28,340,0,Tabungan Jangka Panjang
49,305,0,Tabungan Jangka Panjang
25,0,0,Tabungan Jangka Panjang
28,497,0,Tabungan Jangka Panjang
54,1371,0,Tabungan Jangka Panjang
28,1628,0,Tabungan Jangka Panjang
27,372,0,Tabungan Jangka Panjang
49,566,0,Tabungan Jangka Panjang
53,343,0,Tabungan Jangka Panjang
26,941,0,Tabungan Jangka Panjang
37,775,0,Tabungan Jangka Panjang
34,1759,0,Tabungan Jangka Panjang
51,1495,0,Tabungan Jangka Panjang
39,1444,0,Tabungan Jangka Panjang
35,470,0,Tabungan Jangka Panjang
51,1162,0,Tabungan Jangka Panjang
30,2,0,Tabungan Jangka Panjang
42,1628,0,Tabungan Jangka Panjang
54,1134,0,Tabungan Jangka Panjang
51,0,0,Tabungan Jangka Panjang
57,63,0,Tabungan Jangka Panjang
30,1221,0,Tabungan Jangka Panjang
37,5024,2,Investasi Reksa Dana
39,10685,2,Investasi Reksa Dana
35,1629,0,Tabungan Jangka Panjang
48,268,0,Tabungan Jangka Panjang
31,0,0,Tabungan Jangka Panjang
35,5613,2,Investasi Reksa Dana
48,513,0,Tabungan Jangka Panjang
53,362,0,Tabungan Jangka Panjang
27,3933,2,Investasi Reksa Dana
55,3899,2,Investasi Reksa Dana
40,473,0,Tabungan Jangka Panjang
40,1616,0,Tabungan Jangka Panjang
38,1817,0,Tabungan Jangka Panjang
54,129,0,Tabungan Jangka Panjang
54,1938,0,Tabungan Jangka Panjang
50,133,0,Tabungan Jangka Panjang
48,2263,0,Tabungan Jangka Panjang
41,1538,0,Tabungan Jangka Panjang
51,5,0,Tabungan Jangka Panjang
42,2625,0,Tabungan Jangka Panjang
58,1080,0,Tabungan Jangka Panjang
47,312,0,Tabungan Jangka Panjang
58,145,0,Tabungan Jangka Panjang
41,-190,0,Tabungan Jangka Panjang
50,2678,0,Tabungan Jangka Panjang
46,271,0,Tabungan Jangka Panjang
44,0,0,Tabungan Jangka Panjang
36,0,0,Tabungan Jangka Panjang
58,3161,0,Tabungan Jangka Panjang
44,-4,0,Tabungan Jangka Panjang
49,-701,0,Tabungan Jangka Panjang
55,-375,0,Tabungan Jangka Panjang
52,959,0,Tabungan Jangka Panjang
60,1091,0,Tabungan Jangka Panjang
41,-1,0,Tabungan Jangka Panjang
36,96,0,Tabungan Jangka Panjang
41,0,0,Tabungan Jangka Panjang
50,230,0,Tabungan Jangka Panjang
44,-156,0,Tabungan Jangka Panjang
54,114,0,Tabungan Jangka Panjang
35,-468,0,Tabungan Jangka Panjang
59,679,0,Tabungan Jangka Panjang
42,206,0,Tabungan Jangka Panjang
27,1,0,Tabungan Jangka Panjang
59,2518,0,Tabungan Jangka Panjang
43,378,0,Tabungan Jangka Panjang
39,391,0,Tabungan Jangka Panjang
33,-144,0,Tabungan Jangka Panjang
36,1240,0,Tabungan Jangka Panjang
35,1792,0,Tabungan Jangka Panjang
50,2284,0,Tabungan Jangka Panjang
55,264,0,Tabungan Jangka Panjang
51,0,0,Tabungan Jangka Panjang
48,-392,0,Tabungan Jangka Panjang
55,77,0,Tabungan Jangka Panjang
30,48,0,Tabungan Jangka Panjang
53,252,0,Tabungan Jangka Panjang
40,1954,0,Tabungan Jangka Panjang
44,755,0,Tabungan Jangka Panjang
49,755,0,Tabungan Jangka Panjang
40,341,0,Tabungan Jangka Panjang
58,1183,0,Tabungan Jangka Panjang
49,388,0,Tabungan Jangka Panjang
38,1919,0,Tabungan Jangka Panjang
51,1613,0,Tabungan Jangka Panjang
36,0,0,Tabungan Jangka Panjang
55,0,0,Tabungan Jangka Panjang
43,0,0,Tabungan Jangka Panjang
60,0,0,Tabungan Jangka Panjang
57,466,0,Tabungan Jangka Panjang
41,515,0,Tabungan Jangka Panjang
50,2313,0,Tabungan Jangka Panjang
53,-8,0,Tabungan Jangka Panjang
59,1634,0,Tabungan Jangka Panjang
59,100,0,Tabungan Jangka Panjang
52,5361,2,Investasi Reksa Dana
58,1257,0,Tabungan Jangka Panjang
59,3400,0,Tabungan Jangka Panjang
49,1377,0,Tabungan Jangka Panjang
33,2885,0,Tabungan Jangka Panjang
55,512,0,Tabungan Jangka Panjang
42,921,0,Tabungan Jangka Panjang
52,1000,0,Tabungan Jangka Panjang
38,202,0,Tabungan Jangka Panjang
55,169,0,Tabungan Jangka Panjang
49,3726,2,Investasi Reksa Dana
56,146,0,Tabungan Jangka Panjang
46,940,0,Tabungan Jangka Panjang
57,734,0,Tabungan Jangka Panjang
61,77,0,Tabungan Jangka Panjang
45,925,0,Tabungan Jangka Panjang
39,1836,0,Tabungan Jangka Panjang
46,660,0,Tabungan Jangka Panjang
43,1304,0,Tabungan Jangka Panjang
34,2956,0,Tabungan Jangka Panjang
35,146,0,Tabungan Jangka Panjang
